track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
"Crazy Kiya Re (From ""Dhoom:2"")",Pritam,30 Hits of Pritam,2023-06-13,spotify:track:0FDz52AydSbKmGO3k6EMiS,Hindi,0.749,0.93,0.805,92.035,0.13,0.142
Bollywood,Quebonafide,Egzotyka,2017-06-07,spotify:track:042LPJOfWrG1AdTSVsvGLD,Hindi,0.51,0.934,0.666,168.091,0.446,0.28
Bollywood Theme,Downing And Mayer,Traditional Indian Music,2009-12-01,spotify:track:2R243VHqoYjduX72AKvcot,Hindi,0.702,0.442,0.274,99.921,0.0292,0.289
Bollywood Jam,Jo'E,Bollywood Jam,2023-03-19,spotify:track:1nfkY4hZeQe7LFemBZq4S4,Hindi,0.653,0.933,0.797,124.035,0.0501,0.000295
Bollywood,Ajad Samskara,Ethnology,2019-10-20,spotify:track:06t2gZbrzHVBPQ41ceNjRj,Hindi,0.457,0.724,0.793,203.954,0.191,0.00106
Bollywood Nights (Remix),All India Radio,The Inevitable Remixes,2011-10-03,spotify:track:1SVifGs137rTOPV92Jaomi,Hindi,0.428,0.532,0.206,162.063,0.0261,0.722
Kesariya - Dance Mix,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,spotify:track:26QKnh2Pq4etlbtc9xUZEE,Hindi,0.7,0.699,0.567,100.037,0.0531,0.45
Santur Dreams,India Tribe Music Collection,"Indian music: Classical Indian Instruments, Mandala & Prana, Hindi, Healing Karma, Santur and Bansuri Experience",2020-03-09,spotify:track:6KRrylK5aAo8JRLJslsLti,Hindi,0.46,0.162,0.103,77.359,0.03,0.801
Raga Hemavati (Flute),Rakesh Chaurasia,Romantic Evening Ragas',2006-01-01,spotify:track:5lSSnYTe9Fm2KsHSnybC4F,Hindi,0.196,0.0948,0.0688,108.087,0.0361,0.995
Raga Kamod,Sharafat Hussain Khan,Hindi Classical,1970,spotify:track:1J1TNdd1ZVjlcjSXNnlj12,Hindi,0.344,0.257,0.345,149.56,0.0381,0.843
Raga Des Alap,G.S. Sachdev,Introspection,2011-12-06,spotify:track:4a5DylC4oxQbPV11a7kW1X,Hindi,0.177,0.0311,0.152,140.348,0.041,0.993
Raga Husaini Kanada,Sharafat Hussain Khan,Hindi Classical,1970,spotify:track:5XHpWHyu9ytL3sCm8Jaf9M,Hindi,0.379,0.525,0.337,154.399,0.147,0.751
Raga Kirvani - Alap,Ram Narayan,North India: The Art of the Sarangi,2017-06-21,spotify:track:3UBgKi7ABe2fWYyJ48sFlW,Hindi,0.236,0.0676,0.149,141.785,0.0499,0.917
Raga Anandi,Sharafat Hussain Khan,Hindi Classical,1970,spotify:track:5bpMiGoqZJl0coAeME0if3,Hindi,0.367,0.313,0.205,118.898,0.0574,0.87
Open,Alam Khan,Vignettes,2017-05-19,spotify:track:0TNLBaKLdtY0l0HUtQz8SQ,Hindi,0.274,0.122,0.0397,79.865,0.03,0.89
Raga Bhairavi,Sharafat Hussain Khan,Hindi Classical,1970,spotify:track:68IEirp3MQFYb8wgnfswm9,Hindi,0.39,0.206,0.271,151.399,0.0597,0.846
If,Niladri Kumar,If,2003-06-09,spotify:track:3hap7NJBJyfYZAl5shpnDm,Hindi,0.286,0.254,0.253,131.206,0.0311,0.986
Classical South Indian Music,Hatha Kivi,Hindi Bansuri Flute Songs: Instrumental Calming Music for Yoga,2021-04-12,spotify:track:4bmUElg61zG5oQBOcrd3vh,Hindi,0.276,0.418,0.0598,80.133,0.04,0.859
Bhimpalasri Jhala,Nikhil Banerjee,Afternoon Ragas,1970-01-01,spotify:track:2fR04Ct6BMPZNOZNAQr8v8,Hindi,0.311,0.569,0.622,97.393,0.0402,0.81
Classical Cello Music and Nature Sounds,Asia Hindi,"Meditations for Relaxation - Peaceful Music with Relaxing Sounds of Nature for Zen and Balance, Soothing Music for Healthy Living and Asian Meditation",2017-01-31,spotify:track:7qVQFe7x66qm98BqMhA4Pd,Hindi,0.086,0.141,0.038,168.222,0.0455,0.773
Three Ragas - Bhupali,Amjad Ali Khan,Samaagam,2011-05-10,spotify:track:3BVlTuJdHO7lTmswWjKXID,Hindi,0.578,0.172,0.312,129.777,0.0563,0.834
गुरु पूर्णिमा के भजन (Guru Purnima Bhajan),Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:1q6yH7mF7UOoXW18w3KbN5,Hindi,0.148,0.195,0.371,137.008,0.0428,0.893
Raga desh : Alap,Amjad Ali Khan,Romancing the Rains,2010-11-22,spotify:track:4UeJWL549VjA0LAOF40Pw2,Hindi,0.514,0.00672,0.231,75.219,0.0523,0.911
उपोसथ (Uposatha),Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:6kcLRQMQ4kXEZpt9inFaW4,Hindi,0.549,0.498,0.157,116.992,0.0282,0.731
Raghupati,Niladri Kumar,Raghupati,2021-05-29,spotify:track:3MWiSRGhW2ksUIcquzZF9B,Hindi,0.339,0.56,0.238,74.906,0.0341,0.817
गुरु पूर्णिमा Guru Purnima 2023,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:2O5YnZ463XwAahJe3AFWDc,Hindi,0.642,0.684,0.807,115.045,0.0342,0.0863
Bhairavi,Amjad Ali Khan,Instrumental India,2003-01-01,spotify:track:4zttb0FMlcA1PO9h8mQ8ub,Hindi,0.417,0.194,0.223,159.621,0.0525,0.623
गुरु पूर्णिमा पर कविता,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:2iecK8jWi7VrHDSTToHBO0,Hindi,0.535,0.444,0.265,157.727,0.0315,0.623
Calcutta City,Amjad Ali Khan,Moksha,2004,spotify:track:0sT5HjFc4vFjyZFd7Ug5mF,Hindi,0.297,0.679,0.497,164.558,0.0371,0.788
Satsang Symphony,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:6ADBt7qfoWYp4hDaTXXvAQ,Hindi,0.516,0.444,0.163,134.102,0.0277,0.641
Raag Jhinjhoti,Arnab Chakrabarty,De-Stress Refresh,2006-01-01,spotify:track:4ez9fZqF6ZZhLe9cWxXjQ5,Hindi,0.504,0.0113,0.158,76.047,0.0461,0.992
Melody Of Reverence,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:0eWrlApUX0yuyKn1wBdM1x,Hindi,0.528,0.389,0.158,126.759,0.0302,0.625
